P_pv_tot_MW;P_load_MW;Q_load_MVAr;V_pcc_pu;line_loading_pct;P_loss_MW;Q_opt_actual_tot_MVAr
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
0.923334;2.707793;0.890008;0.996571;32.862;0.210339;0.622497
0.307776;2.971847;0.976799;0.994213;41.932;0.220544;0.209724
0.0;3.236501;1.063786;0.992734;47.829;0.229301;0.0
0.0;3.103336;1.020017;0.993004;46.529;0.227226;0.0
0.0;2.836568;0.932334;0.993545;43.928;0.223181;0.0
0.0;2.435315;0.800449;0.994356;40.023;0.217375;0.0
0.0;2.032742;0.66813;0.995167;36.112;0.211885;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.62886;0.53538;0.995983;32.197;0.206712;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.0;1.493933;0.491032;0.996253;30.891;0.205058;0.0
0.0;1.358858;0.446635;0.996524;29.585;0.203439;0.0
0.307778;1.899424;0.62431;0.996378;31.497;0.206197;0.209724
0.923334;2.305365;0.757737;0.99738;28.944;0.205431;0.622497
2.154446;2.57921;0.847745;0.998753;20.333;0.204305;0.914642
3.693334;2.719513;0.893861;0.998848;12.909;0.212408;0.661991
4.924443;2.858096;0.939411;0.999246;13.762;0.228685;0.639845
5.847775;2.995293;0.984505;0.997491;23.457;0.250175;-1.9e-05
6.155551;2.996083;0.984765;0.997622;25.238;0.25718;-2,00E-05
5.847774;2.86066;0.940253;0.997756;23.697;0.249487;-1.9e-05
4.924443;2.723445;0.895153;0.999512;13.758;0.227883;0.639845
3.693333;2.584919;0.849622;0.999115;11.993;0.211375;0.661991
2.154446;2.444778;0.803559;0.997665;20.854;0.203124;0.457317
